task_title,difficulty_level,task_handler,t1
Bind the data to a model using ng-bind,Intermediate,front-end developer,HTML
Create a landing page,Beginner,front-end developer,HTML
Make an ALIAS of the Postal Code column,Intermediate,back-end developer,SQL DATABASE
Change layouts,Advanced,front-end developer,HTML
Play sounds on a website,Beginner,front-end developer,HTML
Create typography in introduction,Beginner,designer,ADOBE PHOTOSHOP
Create a Date and time picker,Beginner,designer,HTML
Create a Message Box ,Intermediate,designer,HTML
Choose selector priorities,Advanced,designer,HTML
Change the casing of first and last name to upper case ,Advanced,front-end developer,HTML
Use Bootstrap Card for Pricing Table,Intermediate,front-end developer,HTML
Create an HTTP server,Intermediate,back-end developer,JAVASCRIPT
"Replace the content of the file ""mynewfileAdvanced.txt""",Intermediate,back-end developer,JAVASCRIPT
Create a module that returns the current date and time,Advanced,back-end developer,JAVASCRIPT
Select the first Beginner000 records from the result,Beginner,back-end developer,SQL DATABASE
Bind the value of HTML elements to application data,Intermediate,front-end developer,HTML
If user click than use carousel using conditional statements,Intermediate,front-end developer,HTML
Create a Message Box ,Beginner,designer,HTML
Create a contact me form,Advanced,front-end developer,HTML
Create a navigation bar ,Advanced,front-end developer,HTML
If user click than use carousel using conditional statements,Advanced,front-end developer,HTML
Add Grid layouts to the website,Advanced,front-end developer,HTML
Create a landing page,Intermediate,front-end developer,HTML
Use box model for styling,Advanced,front-end developer,HTML
Create a Breadcrumb Navigation,Intermediate,designer,HTML
Create two html files and save them in the same folder ,Advanced,back-end developer,JAVASCRIPT
Pick and mix the CSS selectors,Intermediate,front-end developer,HTML
Create two html files and save them in the same folder ,Advanced,back-end developer,JAVASCRIPT
Debug CSS Code,Intermediate,front-end developer,HTML
Choose selector priorities,Intermediate,designer,HTML
Create a modal window,Advanced,designer,HTML
Create a Date and time picker,Beginner,designer,HTML
Add carousel component in images,Intermediate,front-end developer,HTML
Test all the defined functionalities,Intermediate,tester,MANUAL TESTING
Create a landing page,Intermediate,front-end developer,HTML
Change the first letter of string to upper case ,Intermediate,front-end developer,HTML
Create a navigation bar ,Advanced,front-end developer,HTML
Change layouts,Beginner,front-end developer,HTML
Insert the missing parts in the JOIN clause to join the two tables,Intermediate,back-end developer,SQL DATABASE
Create a list where every number is the sum of the three previous ones,Intermediate,front-end developer,HTML
Create a website wireframe,Beginner,designer,ADOBE ILLUSTRATOR
Create a bullet list ,Beginner,front-end developer,HTML
Use Z-layout in the content,Intermediate,designer,ADOBE ILLUSTRATOR
Debug CSS Code,Intermediate,front-end developer,HTML
Test all the APIs,Intermediate,tester,POSTMAN
Create different nodes usind JS DOM method,Intermediate,front-end developer,HTML
Choose the correct JOIN clause to select all records from the two tables where there is a match in both tables,Advanced,back-end developer,SQL DATABASE
Select the first Beginner000 records from the result,Intermediate,back-end developer,SQL DATABASE
Make the server able to send emails,Intermediate,back-end developer,JAVASCRIPT
Change positions by using Absolute Positioning,Intermediate,front-end developer,HTML
Create a function for calculating and passing it as input to other function,Intermediate,front-end developer,HTML
Create two html files and save them in the same folder ,Intermediate,back-end developer,JAVASCRIPT
Choose Font Style,Beginner,designer,GOOGLE FONTS
 create-and fire- the event ,Intermediate,back-end developer,JAVASCRIPT
Create a website wireframe,Advanced,designer,ADOBE ILLUSTRATOR
Put image at background using Z-index property,Intermediate,front-end developer,HTML
Create a list where every number is the sum of the three previous ones,Intermediate,front-end developer,HTML
Create typography in introduction,Intermediate,designer,ADOBE PHOTOSHOP
Create the featured project section,Beginner,designer,ADOBE PHOTOSHOP
Play sounds on a website,Beginner,front-end developer,HTML
Test all the server,Intermediate,tester,MANUAL TESTING
Put image at background using Z-index property,Advanced,front-end developer,HTML
Add event listners to the Buttons,Intermediate,front-end developer,HTML
Create a Progress Bar,Advanced,designer,HTML
"Create SQL statement selects all fields using AND, OR and NOT operators",Beginner,back-end developer,SQL DATABASE
Create Radio Buttons,Intermediate,designer,FLUTTER
Add event listners to the Buttons,Intermediate,front-end developer,HTML
Change the casing of first and last name to upper case ,Intermediate,front-end developer,HTML
"Insert a new record, but only insert data in the first column",Beginner,back-end developer,SQL DATABASE
"Manipulate different styles, text and attributes ",Advanced,front-end developer,HTML
Create a function that will select random names from the list,Beginner,front-end developer,HTML
Use F-layout in the content,Intermediate,designer,ADOBE ILLUSTRATOR
Create a Progress Bar,Advanced,designer,HTML
Create a contact me form,Advanced,front-end developer,HTML
Choose the correct JOIN clause to select all records from the two tables where there is a match in both tables,Beginner,back-end developer,SQL DATABASE
select all the fields available in the table,Beginner,back-end developer,SQL DATABASE
Bind the value of HTML elements to application data,Intermediate,front-end developer,HTML
Add slider for Pricing Section,Advanced,designer,HTML
Add responsive Buttons,Intermediate,front-end developer,HTML
Use Z-layout in the content,Intermediate,designer,ADOBE ILLUSTRATOR
Refactor the  code,Beginner,front-end developer,HTML
Add Grid layouts to the website,Beginner,front-end developer,HTML
Create the featured project section,Advanced,designer,ADOBE PHOTOSHOP
Bind the value of HTML elements to application data,Intermediate,front-end developer,HTML
Create a website wireframe,Intermediate,designer,ADOBE ILLUSTRATOR
